,datasize,ssdp_mr,ssdp_std
0,100.0,-6.307980383598269,0.00039471067849850764
1,150.0,-6.169256886563493,0.0003027605769271635
2,200.0,-6.06891360708621,0.0004525954973084234
3,250.0,-6.162467346760732,0.0007103772542101723
4,300.0,-5.9870834416284415,0.0004613370648868021
5,350.0,-6.3726794592776095,0.00042065992572395445
6,400.0,-6.263079190232496,0.0003028991097208415
7,450.0,-6.163497568575944,0.0002825688931165417
8,500.0,-6.157061958693256,0.0002951395570345648
9,550.0,-6.209911332253907,0.000650198409491536
10,600.0,-6.318611503145218,0.00039294704799039854
11,650.0,-6.314822394596238,0.00040686511656314175
12,700.0,-6.1084835047817085,0.0006357546355014724
13,750.0,-6.270161532889596,0.0004897294980331517
14,800.0,-6.156083314431051,0.0005333666802303103
15,850.0,-6.132713896546899,0.0006479695056482199
16,900.0,-6.346932051176015,0.0003946234496235477
17,950.0,-6.374244470426352,0.00044000327312238507
18,1000.0,-6.32120746232604,0.0004003499649127087
19,1050.0,-6.292680787788936,0.00037738819220154465
20,1100.0,-6.2146328942618325,0.0004381228515402428
21,1150.0,-6.052418598447393,0.00048550009597370434
22,1200.0,-6.262041151656824,0.0005273952297056768
23,1250.0,-6.37082418411598,0.00046744494246775354
24,1300.0,-6.022374855789952,0.00047898653550256746
