datasize_list,ssdp_mr,ssdp_std,socp_mr,socp_std,socpeig_mr,socpeig_std,LTR_mr,LTR_std,RTR_mr,RTR_std
150,-1.89392285424727,0.0629611750437292,-1.92006038192152,0.0946395392339995,-4.19787596565198,0.13630815719932,-2.88920011335855,0.594423074288047,-1.73018871767717,0.0481462698798907
240,-1.93124628849388,0.0283372474168018,-1.95132684205531,0.096529962634057,-4.26908786309854,0.0342314377986825,-3.40739418640072,0.113508499667052,-1.70467184117165,0.0694324716193408
330,-1.96036264853365,0.0107195232471717,-1.99625561246121,0.0681995260547399,-4.28392039227933,0.0431692600800829,-3.47129649837978,0.0297924950730818,-1.77523965390289,0.0487497271783189
420,-1.94199410035809,0.0331728808063858,-1.9561039297858,0.0948680172609128,-4.25417162491717,0.0561910643105208,-3.41895708329721,0.0482876351228319,-1.7179655229028,0.0561205623359246
510,-1.92387467616343,0.0368540155543384,-1.9685719966906,0.0742115966308119,-4.21910664326272,0.0728808580176596,-3.4173121354367,0.0506358926155994,-1.73006602076648,0.0652506717418794
600,-1.95889666464351,0.0218037629347895,-2.00135315288231,0.0603190626605096,-4.13620963799928,0.086838614602134,-3.36840337034458,0.0756322615339674,-1.73426449069613,0.0793208050406961
690,-1.94746263588733,0.0336724188776113,-1.98053003744939,0.0877257893147807,-4.14799182223103,0.0544305090237976,-3.31299876787281,0.0978101630327343,-1.71043861881182,0.056519050193827
780,-1.97466903368364,0.0162981695957395,-1.96553599305325,0.0677055812247069,-4.1395340939936,0.0773337526929574,-3.27913881344082,0.0785455983107422,-1.72837036279498,0.0410515944201569
870,-1.99871647270485,0.0482610154119413,-2.0258178879363,0.0852419295351403,-4.19818147042098,0.114889001220396,-3.32570703441064,0.0783922995351689,-1.75379315221098,0.106542589771605
960,-2.04829293937811,0.0297991998643765,-2.10734985131173,0.0618736534924457,-4.26355036606768,0.0903253619867331,-3.3144875261968,0.0988303586927915,-1.85346311613908,0.0628512899729304
1050,-2.06632832197188,0.0132288169890017,-2.06501913916065,0.0526088070319734,-4.26927310494534,0.0772764114112132,-3.4026313012368,0.0424208747936917,-1.84362849744952,0.044357027044856
1140,-2.06351070626053,0.0103320806053876,-2.04309141372139,0.0746449339197116,-4.25408468063811,0.0935106064668682,-3.34116662184034,0.102327847728583,-1.83670217931683,0.0552804022526036
1230,-2.04416821731223,0.047136879626198,-2.09571723912472,0.0619225129551987,-4.22296939954467,0.108929390970961,-3.34664884146623,0.0644254806184345,-1.85441258339722,0.0445151664111296
1320,-2.06781578742726,0.0188034066312058,-2.08632968457299,0.0519544278852338,-4.26878690795114,0.0687128428272393,-3.35928885360853,0.0469124385071171,-1.84927887178273,0.0316714358512688
1410,-2.06859939407352,0.00928001472146599,-2.08120644639425,0.0685363236389062,-4.26171466291522,0.0939850940180259,-3.33369488844667,0.0579371197862986,-1.83218463845858,0.0122429387900752
1500,-2.05811326863881,0.0261960279777807,-2.11546545981347,0.0598732188283418,-4.22459614437893,0.103999438565889,-3.3104523192009,0.0640184827902231,-1.88779577773864,0.0613090875212017
