datasize_list,ssdp_mr,ssdp_std,socp_mr,socp_std,socpeig_mr,socpeig_std,LTR_mr,LTR_std,RTR_mr,RTR_std
100,-2.16376494745482,0.0178804382028955,-2.23938531888125,0.024345659407032,-4.37865133620072,0.0918818938563364,-3.17421314707708,0.0484396290945551,-2.02787668378064,0.024062558972087
150,-2.12750070655682,0.0493355316161255,-2.15612402856605,0.0656536353505058,-4.34340272645928,0.0631836462823771,-3.15474372351828,0.0674859701401908,-2.02010637657206,0.0525218265298057
200,-2.16711637962533,0.015679445449065,-2.24149808145603,0.0200674605359515,-4.37854631894768,0.0623057049610439,-3.19315310565236,0.0217691086729972,-2.04388183854932,0.040842531810885
250,-2.18012223315778,0.0122969245212444,-2.23857449583087,0.043495336914092,-4.36666941375555,0.0861995159411421,-3.19022095933952,0.0196142473625486,-2.05821420644861,0.0800587052952554
300,-2.16973902559939,0.0154990423047621,-2.22366050681403,0.0241250905358804,-4.34177512579497,0.0631296585162681,-3.18297173645397,0.0350053220448787,-2.02762992318866,0.0354866132528793
350,-2.15788369939084,0.0247635827794807,-2.17206590927865,0.0635163033800785,-4.38184795477675,0.0554347567262738,-3.1650662052959,0.0202636551925016,-2.04519507137935,0.0414455268162078
400,-2.13883875564072,0.0356087213115947,-2.17097803738988,0.078768097127929,-4.33514022215635,0.107292081892641,-3.14494859932379,0.0302836893349507,-2.04194515573326,0.0503011148637817
450,-2.14190300132944,0.0461642812712818,-2.19830062692945,0.049268441269334,-4.39230991962433,0.0400705996045866,-3.16660227014356,0.0264610627403056,-2.0585456304597,0.0549668881313653
500,-2.1525180506501,0.0171859440356204,-2.20640008472324,0.0400327953005186,-4.38095755208848,0.072467531460898,-3.17443064100313,0.0296714445311394,-2.04263165370528,0.042487790306945
550,-2.15269321901858,0.0246858513498488,-2.16850157370306,0.0520799540433677,-4.32999182937028,0.047084076199615,-3.15326789989578,0.0405455000074717,-2.06734751389212,0.0903132594907656
600,-2.13177168290845,0.0240194444207309,-2.17997232568018,0.0455721802984899,-4.27359876367045,0.113783906020366,-3.16165319752942,0.0242406462960198,-2.04029350992597,0.0624286306214912
650,-2.15360224970767,0.0137290316673147,-2.18373286010292,0.0675625499161847,-4.34029992376175,0.0795623909145451,-3.14570005704454,0.0519172008287978,-2.04096534110858,0.0568399012762741
700,-2.18266130845613,0.0234139042127911,-2.20064954892132,0.0560428284426758,-4.43076603427206,0.0116118761542754,-3.15898764137189,0.0203342083329851,-2.05248234214769,0.054447239735353
750,-2.14601154092822,0.0289424702301715,-2.17440687212161,0.0380136850386648,-4.31245483278609,0.0881577559361178,-3.11366501167388,0.0520315724535433,-2.03507766451022,0.0548724925357373
800,-2.16422268895821,0.0107976875860265,-2.19550025192782,0.0442842025264244,-4.33486853328546,0.154311338840171,-3.09446572503611,0.101144958568445,-2.03146191289357,0.0486313128719359
850,-2.15916381086685,0.0305523350993281,-2.21468112005969,0.0439852164937811,-4.37479329352386,0.0387409840271922,-3.1277881282942,0.0394505969924728,-2.01449191222981,0.0415774432529881
900,-2.10829070154157,0.0641469889150237,-2.14959847332338,0.0677372009927466,-4.27156020264021,0.0855061091520231,-3.11209710969955,0.0578828867913637,-2.0380718853389,0.0651039872573754
950,-2.12090706453659,0.036153964293823,-2.12879936108009,0.0570242309991885,-4.26574554552065,0.125915194703161,-3.03837961726901,0.116113249521272,-2.00628039428963,0.0650947720329443
1000,-2.12260668366616,0.0401601360797137,-2.16117387821953,0.0840788462277328,-4.34587613856508,0.0936833674661246,-3.10982905161316,0.0532521656612502,-2.04002447952439,0.0978569238588525
1050,-2.11037724593498,0.0518277245678621,-2.13620403818284,0.0745434048629757,-4.32644271794718,0.108440125228172,-3.07864726716277,0.0544726583301388,-2.02223086445712,0.0421736542441344
1100,-2.11001076990146,0.0472456057743989,-2.1920960253913,0.0330104487695152,-4.34668925271004,0.088210634903098,-3.10872814067433,0.03547836649059,-2.05262865960098,0.0726736703161662
1150,-2.12597538920227,0.0462404039725245,-2.1542692828511,0.0617714025869562,-4.30582546058497,0.141997241336595,-3.12619529543382,0.0229433725004876,-2.02374326472259,0.0311598979131546
1200,-2.10850285925182,0.0398444814954311,-2.13389619076009,0.0941066700618589,-4.2609083748073,0.193539824341108,-3.08187001192845,0.0496716864722578,-2.02047758284573,0.0417304347989801
1250,-2.09437642618234,0.126971000589359,-2.14680330867944,0.048004483862529,-4.36047537861154,0.0441044048922091,-3.09448269779005,0.0457783017705421,-2.01010960841503,0.0525168372032977
1300,-2.13868234476393,0.0226733737803376,-2.15656790701298,0.0315558634852135,-4.35602783900931,0.0404032024870862,-3.11389674211304,0.0341440695680338,-2.02096447757462,0.0210211991669241

