datasize_list,ssdp_mr,ssdp_std,socp_mr,socp_std,socpeig_mr,socpeig_std,LTR_mr,LTR_std,RTR_mr,RTR_std
100,-0.85006191100572,0.0556242021989524,-1.56419838241197,0.104470057019539,-2.95141129754474,0.100953746474154,-2.6757510041007,0.010859000218204,-1.82970974512101,0.104731999757414
110,-0.691776069559614,0.156095438363447,-1.61065202044499,0.0900095123653642,-2.89594400879843,0.077051718415274,-2.67394177807524,0.0165656728933051,-1.73742213549401,0.118828139340103
120,-0.752969227935813,0.166166495554448,-1.59860324619745,0.0800377423316601,-2.91473254486822,0.0539532853092305,-2.67964984552511,0.0172506763487274,-1.71406681465959,0.155780052035871
130,-0.752730015106924,0.142975222521329,-1.59433510135545,0.0523474895099703,-2.91744797690802,0.0596437465865149,-2.67872769888976,0.022475742778022,-1.85977975649671,0.0953832614790233
140,-0.826664007558438,0.0998814038614083,-1.60375130901307,0.0805540959939474,-2.94757497402397,0.0484770793627835,-2.67597542215298,0.0153743185581214,-1.86320969411724,0.0895090753676859
150,-0.813340000410526,0.110977670166697,-1.62508198265859,0.123772001810929,-2.93328209471508,0.0496689345828473,-2.67640488489289,0.0132369829649083,-1.82877064748697,0.140314717642378
160,-0.79198955373793,0.114651298063225,-1.59323725356507,0.0777071993396168,-2.90229030365675,0.0437357221864495,-2.67343861689674,0.0121198711950645,-1.82596019725845,0.0986307028582387
170,-0.857338426829955,0.0201750130724978,-1.62516225699376,0.0837226789472498,-2.93752012452068,0.0509533803607344,-2.680278796462,0.0127531980415518,-1.78460291844214,0.159081877422147
180,-0.82818215283491,0.112771755694901,-1.62650879811092,0.0490885516020422,-2.92422491916198,0.0430796908184856,-2.67096215383483,0.0131924066351763,-1.83176151897764,0.114515851152378
190,-0.771291112436187,0.201985594946481,-1.5754547446981,0.0941834286039926,-2.94087564466808,0.0536296622633821,-2.67251953841971,0.021823164784673,-1.83831906512748,0.11353037034103
200,-0.842031019630189,0.0613359428301134,-1.61158322723826,0.0788554015689586,-2.92198265398557,0.0757368698963295,-2.66725382327758,0.0120664402113527,-1.75537626416774,0.161835168822942
210,-0.863456082539935,0.0164135383365184,-1.61668533071718,0.0730320300466777,-2.92737815674011,0.0492218960946993,-2.65916687763418,0.0126282612630652,-1.83262266272419,0.0811000558156118
220,-0.868469832127863,0.00226548094571257,-1.61675105958662,0.0697034339993634,-2.92248724608294,0.0351616698943427,-2.6690007408333,0.0119767057705325,-1.8191705062631,0.121617715430327
230,-0.823513058322666,0.115857518827838,-1.62543944848249,0.0866736792931225,-2.93651205202153,0.0503439436563796,-2.64488952775234,0.00844365399420123,-1.87611191677357,0.0492587147527153
240,-0.813379101875548,0.119166900460566,-1.6109315940601,0.112167944141328,-2.92445562214346,0.0602755060849816,-2.65170281311825,0.0244618211958533,-1.80779561249482,0.158945847184144
250,-0.849214863890808,0.0256992281576279,-1.57108349510587,0.0745957892455898,-2.9463079436101,0.0599374547169329,-2.65039210347794,0.0198647018445351,-1.77522555927814,0.130928182205794
260,-0.853694339587299,0.0305399040774038,-1.58543561037251,0.0631354310421954,-2.93521838264738,0.0640761831969374,-2.65303908116585,0.020415034595076,-1.8452791009942,0.0885684823886356
270,-0.869352911704566,0.00399657007555897,-1.62576819429206,0.0856344730794332,-2.92576380620156,0.054330047044824,-2.6549488453609,0.0127955939931749,-1.79135552965854,0.147498954467018
280,-0.861628366825494,0.00777769733585803,-1.60880673242636,0.0784214986500411,-2.91312348801543,0.0933933699888251,-2.61820216723701,0.10556734334527,-1.83779442248184,0.0611021813634858
290,-0.84565180598076,0.0539466946823262,-1.60072666964387,0.100586816797356,-2.92340389509058,0.0671749559794339,-2.66122739510334,0.010189748179737,-1.83237414863278,0.114964813367895
300,-0.869641437148339,0.00260923499360631,-1.61651088570528,0.124610996725261,-2.92186857107557,0.0438433713120887,-2.64716109217542,0.0142370300890693,-1.89460450255826,0.0397384495814657
