socpOptval,LTROptval,RTROptval,ltr_err,rtr_err
86.4518425940454,86.4518426202624,86.4518426288226,3.03256134907969e-10,4.022730245189e-10
144.463503663514,144.463503762281,144.463503680537,6.83677613705406e-10,1.17837846215606e-10
192.867955002761,192.867954473487,192.867955131005,2.74422759154312e-09,6.64932551883222e-10
236.929759560838,236.929759481013,236.929759569457,3.36913778224351e-10,3.63774977970478e-11
300.982435029123,300.982435080089,300.982435073225,1.69330940576025e-10,1.46527089548359e-10
349.922749643002,349.922749251605,349.922749703265,1.118523556683e-09,1.72218513498693e-10
416.815517793736,416.81551802905,416.815517775344,5.64551963378455e-10,4.41238794071459e-11
456.750669779692,456.750669761809,456.750669844989,3.91517729393205e-11,1.42960584328293e-10
513.27185148778,513.271849506997,513.271851550143,3.8591304944573e-09,1.21500306860295e-10
570.387707839735,570.387706973492,570.387707251372,1.518690565678e-09,1.0315126341817e-09
625.729012953242,625.729012964597,625.729012997778,1.81459908081565e-11,7.11733452337823e-11
681.697311834071,681.697310144286,681.697310610096,2.47879092223031e-09,1.79548163628773e-09
729.968456083761,729.968456302271,729.968456384776,2.99341813086774e-10,4.12366831492537e-10
779.851239723227,779.851239236037,779.851239458894,6.24721482624654e-10,3.38952864565544e-10
837.609422101766,837.609421954968,837.609422337151,1.75258450220969e-10,2.81020223371933e-10
894.026886894564,894.026886478658,894.026886229926,4.65205392800548e-10,7.4342063621804e-10
