datasize_list,ssdp_mr,ssdp_std,socp_mr,socp_std,socpeig_mr,socpeig_std,LTR_mr,LTR_std,RTR_mr,RTR_std
5000,-0.402752924482973,0.00856248713715737,-1.35973254524315,0.0958843887315259,-2.33293535834532,0.0987681767242557,-1.88246486704057,0.0508559156871412,-1.37241374620114,0.0328726840368837
10000,-0.390101654979523,0.00867803600993598,-1.23558033000112,0.069251245801737,-2.29058205789651,0.0703252035940327,-1.55660802618069,0.0233708092801632,-1.2156874640375,0.0443596989417475
15000,-0.404506488726918,0.0169899913272083,-0.968197475782522,0.0440374096700209,-2.0334320563827,0.101996557432508,-1.354182208774,0.0729371979048987,-0.994263536904651,0.0607632114380997
20000,-0.362709178250542,0.0419682301787239,-0.929605105145001,0.0359488094874013,-2.00826189456355,0.0564855296029875,-1.21799144600152,0.067117927862889,-0.897454106246301,0.0601736304861245
25000,-0.363711537074758,0.0380908057029998,-0.868320168592613,0.0386570978524671,-1.97035345541022,0.0517285376062361,-1.14913654811579,0.0463017836356935,-0.852932553802251,0.0474201190782793
30000,-0.36405448645907,0.0242935356435293,-0.813950171130973,0.0348831818989791,-1.93091037330423,0.0615902973353192,-1.04677133819442,0.0589520188410668,-0.78822505012231,0.0289232199184416
35000,-0.361217823610952,0.0501242547749494,-0.780066971669573,0.0448295636312923,-2.00750600011933,0.0981758462528631,-1.00432750862177,0.0583945652254034,-0.785255318062841,0.0216313773521156
40000,-0.391250881585273,0.0467275471574127,-0.781681673452481,0.0340918971077101,-2.06353230906772,0.135119278511497,-0.922971113687814,0.0561839539116882,-0.738002800750491,0.0469282349885847
45000,-0.40575390444005,0.035038563080864,-0.752334389864448,0.0553311730978905,-2.14422416026443,0.0576572388140583,-0.848621223440696,0.0607236510081378,-0.768040175047031,0.067686349386385
50000,-0.391629743837657,0.0406135408624031,-0.700732046279863,0.0634452917718248,-2.22216094112004,0.114641287748584,-0.825477746277649,0.0893537151280301,-0.722819801145073,0.0452920096169167
